                                   Box plot for Informational_Duration after capping

                                   Box plot for Informational_Duration after capping


  Obs  Informational_Duration
    1                       0
    2                     357
    3             503.7222222
    4                       0
    5                       0
    6                       0
    7                       0
    8                      35
    9                      18
   10                       0

... 25 more observations (showing 10 of 35)

